NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
CATALUNYA;CATALUNYA;2020-09-13;2020-09-19;No;230.8;1.28728;97.8427;7443;1364.4218;103793;7.1958;503;63;62
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;No;225.269;1.25468;98.8023;7516;1329.5465;101140;7.4703;501;64;59
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;--;;;0.0000;131;0.0000;931;8.8106;36;5;0
CATALUNYA;CATALUNYA;2020-09-12;2020-09-18;Si;;;421.5760;273;5979.2763;3872;8.0000;28;1;15
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;No;194.01;1.08026;88.6671;6745;1142.3793;86902;7.6775;467;64;58
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;--;;;0.0000;114;0.0000;828;8.6420;32;5;0
CATALUNYA;CATALUNYA;2020-09-11;2020-09-17;Si;;;375.2490;243;5112.9607;3311;8.1815;29;1;16
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;--;;;0.0000;109;0.0000;767;9.0546;33;6;0
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;Si;;;370.6163;240;5446.5154;3527;7.4015;32;1;18
CATALUNYA;CATALUNYA;2020-09-10;2020-09-16;No;179.9;1.0079;88.4436;6728;1138.4751;86605;7.9543;472;66;57
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;--;;;0.0000;112;0.0000;842;8.1608;33;6;0
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;Si;;;311.9353;202;5752.2738;3725;5.8111;27;0;18
CATALUNYA;CATALUNYA;2020-09-09;2020-09-15;No;167.258;0.950223;86.1431;6553;1108.2008;84302;7.9450;469;71;56
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;No;162.184;0.938145;82.9750;6312;1088.7847;82825;7.7637;465;70;54
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;--;;;0.0000;118;0.0000;856;8.5919;39;7;0
CATALUNYA;CATALUNYA;2020-09-08;2020-09-14;Si;;;321.2007;208;6200.1019;4015;5.2228;24;0;19
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;--;;;0.0000;125;0.0000;897;7.8588;33;7;0
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;Si;;;276.4179;179;5702.8583;3693;5.2928;28;0;12
CATALUNYA;CATALUNYA;2020-09-07;2020-09-13;No;160.328;0.93109;82.1074;6246;1083.2373;82403;7.7717;469;74;53
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;--;;;0.0000;130;0.0000;894;7.8767;34;5;0
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;Si;;;213.1043;138;5651.8986;3660;4.0720;34;0;18
CATALUNYA;CATALUNYA;2020-09-06;2020-09-12;No;166.351;0.96042;81.4501;6196;1079.5565;82123;7.8249;468;71;49
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;No;171.024;0.989576;80.7403;6142;1088.0880;82772;7.7150;476;79;54
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;--;;;0.0000;128;0.0000;870;7.5117;37;4;0
CATALUNYA;CATALUNYA;2020-09-05;2020-09-11;Si;;;135.8926;88;5516.0059;3572;3.2499;35;1;18
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;Si;;;148.2465;96;6998.4712;4532;2.7799;36;1;18
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;No;186.879;1.02532;90.9281;6917;1250.8043;95150;7.6487;491;77;58
CATALUNYA;CATALUNYA;2020-09-04;2020-09-10;--;;;0.0000;139;0.0000;1028;6.8520;39;5;0
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;--;;;0.0000;142;0.0000;1111;6.2443;37;3;0
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;Si;;;166.7773;108;7443.2107;4820;3.1780;36;1;24
CATALUNYA;CATALUNYA;2020-09-03;2020-09-09;No;185.795;1.0207;90.0473;6850;1242.7723;94539;7.4477;466;74;52
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;No;187.157;1.01296;89.8765;6837;1271.2063;96702;7.2133;467;77;47
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;--;;;0.0000;136;0.0000;1129;5.6757;33;3;0
CATALUNYA;CATALUNYA;2020-09-02;2020-09-08;Si;;;228.5467;148;7160.6158;4637;3.7239;38;1;25
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;Si;;;239.3563;155;7176.0581;4647;3.8556;40;1;28
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;No;187.689;1.00611;89.9027;6839;1289.1237;98065;7.1661;457;82;49
CATALUNYA;CATALUNYA;2020-09-01;2020-09-07;--;;;0.0000;138;0.0000;1200;5.6780;32;1;0
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;--;;;0.0000;124;0.0000;1065;5.5609;31;1;0
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;Si;;;236.2678;153;7308.8623;4733;3.6073;39;1;27
CATALUNYA;CATALUNYA;2020-08-31;2020-09-06;No;189.105;1.00038;90.0868;6853;1294.5266;98476;7.2729;453;82;49
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;No;189.286;0.995587;91.7563;6980;1303.5050;99159;7.2878;444;82;51
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;--;;;0.0000;120;0.0000;1065;5.1724;26;2;0
CATALUNYA;CATALUNYA;2020-08-30;2020-09-05;Si;;;227.0024;147;7311.9508;4735;3.4475;36;1;26
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;No;187.92;0.987376;92.0849;7005;1295.5914;98557;7.3007;438;78;45
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;--;;;0.0000;113;0.0000;1061;5.1873;25;2;0
CATALUNYA;CATALUNYA;2020-08-29;2020-09-04;Si;;;220.8255;143;7345.9239;4757;3.1935;32;0;28
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;--;;;0.0000;123;0.0000;1083;5.0992;22;1;0
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;Si;;;236.2678;153;7021.6347;4547;3.5900;33;0;29
CATALUNYA;CATALUNYA;2020-08-28;2020-09-03;No;190.254;0.998058;91.3356;6948;1297.4055;98695;7.1880;423;79;43
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;No;193.804;1.01235;91.9798;6997;1297.8787;98731;7.2791;454;83;46
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;--;;;0.0000;125;0.0000;1081;5.0095;25;1;0
CATALUNYA;CATALUNYA;2020-08-27;2020-09-02;Si;;;236.2678;153;6634.0318;4296;3.5983;30;0;24
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;No;199.551;1.03118;94.8849;7218;1332.8855;101394;7.3986;445;72;45
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;--;;;0.0000;131;0.0000;1078;5.5871;29;1;0
CATALUNYA;CATALUNYA;2020-08-26;2020-09-01;Si;;;236.2678;153;6989.2058;4526;3.9664;34;0;26
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;--;;;0.0000;130;0.0000;1038;5.5064;27;1;0
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;Si;;;262.5198;170;7108.1118;4603;4.3293;34;0;24
CATALUNYA;CATALUNYA;2020-08-25;2020-08-31;No;203.086;1.04505;96.6464;7352;1330.4798;101211;7.4236;450;64;40
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;--;;;0.0000;141;0.0000;1180;5.7858;28;2;0
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;Si;;;257.8871;167;7216.2082;4673;4.1320;32;0;31
CATALUNYA;CATALUNYA;2020-08-24;2020-08-30;No;204.756;1.05829;98.9469;7527;1350.8686;102762;7.3289;451;66;40
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;No;206.478;1.07171;98.3685;7483;1354.2734;103021;7.2832;445;67;42
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;--;;;0.0000;143;0.0000;1177;5.9740;32;2;0
CATALUNYA;CATALUNYA;2020-08-23;2020-08-29;Si;;;268.6968;174;7248.6372;4694;4.6856;32;1;30
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;--;;;0.0000;144;0.0000;1165;5.9597;33;3;0
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;Si;;;290.3161;188;7454.0204;4827;4.5735;32;1;32
CATALUNYA;CATALUNYA;2020-08-22;2020-08-28;No;211.605;1.10253;98.2371;7473;1370.8237;104280;7.1750;444;63;43
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;--;;;0.0000;144;0.0000;1092;6.2734;35;4;0
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;Si;;;301.1257;195;7466.3742;4835;4.4281;31;1;32
CATALUNYA;CATALUNYA;2020-08-21;2020-08-27;No;215.826;1.13213;99.2887;7553;1350.6452;102745;7.4018;463;69;36
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;No;217.094;1.15044;99.4596;7566;1297.3923;98694;7.7290;441;65;36
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;--;;;0.0000;139;0.0000;1074;6.5777;31;5;0
CATALUNYA;CATALUNYA;2020-08-20;2020-08-26;Si;;;301.1257;195;6992.2942;4528;4.6665;30;1;33
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;Si;;;219.2813;142;6532.1123;4230;3.7007;27;2;31
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;No;214.486;1.16022;98.6314;7503;1230.4155;93599;7.9610;464;70;40
CATALUNYA;CATALUNYA;2020-08-19;2020-08-25;--;;;0.0000;131;0.0000;1045;5.9745;28;6;0
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;--;;;0.0000;123;0.0000;1031;5.3625;27;7;0
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;Si;;;191.4850;124;6430.1928;4164;3.2627;29;3;31
CATALUNYA;CATALUNYA;2020-08-18;2020-08-24;No;212.158;1.16629;97.6849;7431;1190.0453;90528;8.1855;483;77;43
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;No;207.505;1.1659;94.5300;7191;1131.2319;86054;8.4500;481;81;41
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;--;;;0.0000;117;0.0000;1008;5.8704;25;6;0
CATALUNYA;CATALUNYA;2020-08-17;2020-08-23;Si;;;179.1312;116;6061.1208;3925;3.2917;33;3;27
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;Si;;;176.0427;114;6088.9170;3943;2.7060;33;2;24
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;No;206.143;1.16461;94.2934;7173;1127.3276;85757;8.4434;495;78;38
CATALUNYA;CATALUNYA;2020-08-16;2020-08-22;--;;;0.0000;112;0.0000;1005;5.8943;25;5;0
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;--;;;0.0000;110;0.0000;996;5.6352;25;4;0
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;Si;;;159.0561;103;5844.9279;3785;2.8788;34;2;22
CATALUNYA;CATALUNYA;2020-08-15;2020-08-21;No;202.716;1.14832;93.6887;7127;1105.5059;84097;8.6590;509;78;39
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;No;194.52;1.12305;91.3488;6949;1067.8043;81229;8.7367;501;69;45
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;--;;;0.0000;110;0.0000;1081;6.0721;26;3;0
CATALUNYA;CATALUNYA;2020-08-14;2020-08-20;Si;;;125.0830;81;5338.4190;3457;3.0866;34;2;26
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;No;187.559;1.10775;89.2455;6789;1066.2794;81113;8.4473;498;69;43
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;--;;;0.0000;127;0.0000;1090;7.0423;27;3;0
CATALUNYA;CATALUNYA;2020-08-13;2020-08-19;Si;;;114.2733;74;5716.7564;3702;2.5758;40;3;24
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;--;;;0.0000;130;0.0000;1044;7.7909;26;3;0
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;Si;;;152.8792;99;6016.3380;3896;3.3302;44;2;25
CATALUNYA;CATALUNYA;2020-08-12;2020-08-18;No;182.513;1.09902;86.2351;6560;1056.6437;80380;8.3185;477;65;38
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;No;179.063;1.09401;84.2238;6407;1039.6464;79087;8.2023;463;62;37
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;--;;;0.0000;132;0.0000;1025;8.7174;25;2;0
CATALUNYA;CATALUNYA;2020-08-11;2020-08-17;Si;;;205.3832;133;5843.3837;3784;4.3519;47;1;27
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;No;177.052;1.09261;83.4483;6348;1048.5197;79762;8.0780;453;58;43
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;--;;;0.0000;131;0.0000;1052;8.4961;23;2;0
CATALUNYA;CATALUNYA;2020-08-10;2020-08-16;Si;;;231.6351;150;5797.0566;3754;4.7469;45;1;25
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;--;;;0.0000;130;0.0000;1048;8.5211;20;3;0
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;Si;;;227.0024;147;5687.4160;3683;4.7772;46;2;29
CATALUNYA;CATALUNYA;2020-08-09;2020-08-15;No;175.473;1.09243;82.7121;6292;1044.9310;79489;8.0748;458;62;41
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;--;;;0.0000;129;0.0000;1058;8.6492;19;3;0
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;Si;;;227.0024;147;5936.0378;3844;4.7080;45;3;29
CATALUNYA;CATALUNYA;2020-08-08;2020-08-14;No;175.196;1.09483;82.8436;6302;1076.7696;81911;7.7930;459;62;37
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;No;173.191;1.08372;81.8576;6227;1076.0335;81855;7.6720;456;68;35
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;--;;;0.0000;122;0.0000;957;8.8770;16;3;0
CATALUNYA;CATALUNYA;2020-08-07;2020-08-13;Si;;;315.0238;204;6007.0725;3890;5.9484;48;3;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;--;;;0.0000;121;0.0000;1008;7.8332;17;3;0
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;Si;;;352.0854;228;5937.5820;3845;6.7075;44;2;23
CATALUNYA;CATALUNYA;2020-08-06;2020-08-12;No;169.978;1.06669;80.0698;6091;1070.8541;81461;7.6473;468;77;37
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;--;;;0.0000;114;0.0000;1106;6.8455;18;3;0
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;Si;;;325.8335;211;5949.9359;3853;6.0522;43;3;23
CATALUNYA;CATALUNYA;2020-08-05;2020-08-11;No;168.151;1.05132;79.8332;6073;1057.2221;80424;7.7413;472;79;35
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;No;166.541;1.03445;79.4520;6044;1057.0512;80411;7.8064;459;80;36
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;--;;;0.0000;121;0.0000;1169;6.4912;23;5;0
CATALUNYA;CATALUNYA;2020-08-04;2020-08-10;Si;;;296.4930;192;5980.8206;3873;5.6790;37;3;23
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;Si;;;282.5949;183;6082.7400;3939;5.5051;40;3;26
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;No;164.851;1.01888;78.5975;5979;1029.2483;78296;7.8563;464;75;27
CATALUNYA;CATALUNYA;2020-08-03;2020-08-09;--;;;0.0000;128;0.0000;1158;6.2888;26;25;0
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;--;;;0.0000;131;0.0000;1162;6.1837;39;26;0
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;Si;;;285.6834;185;6292.7559;4075;5.4094;41;2;25
CATALUNYA;CATALUNYA;2020-08-02;2020-08-08;No;162.228;1.00512;77.9140;5927;1023.6351;77869;7.8630;455;73;27
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;No;160.36;0.997446;77.1778;5871;995.1091;75699;8.1089;450;75;32
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;--;;;0.0000;132;0.0000;1162;6.2610;49;28;0
CATALUNYA;CATALUNYA;2020-08-01;2020-08-07;Si;;;287.2276;186;6457.9890;4182;5.2496;46;1;26
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;Si;;;213.1043;138;6581.5278;4262;3.8558;47;1;28
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;No;163.777;1.0197;77.9534;5930;989.3514;75261;8.2947;459;81;34
CATALUNYA;CATALUNYA;2020-07-31;2020-08-06;--;;;0.0000;130;0.0000;1169;6.3103;65;30;0
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;--;;;0.0000;115;0.0000;1163;5.8979;72;29;0
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;Si;;;202.2947;131;6447.1794;4175;4.1430;51;1;29
CATALUNYA;CATALUNYA;2020-07-30;2020-08-05;No;168.379;1.03497;79.2811;6031;982.4762;74738;8.4498;449;75;38
